Date,Close
3/3/15,79.6
4/3/15,80.9
5/3/15,81.21
6/3/15,80.01
9/3/15,79.44
10/3/15,77.55
11/3/15,77.57
12/3/15,78.93
13/03/2015,78.05
16/03/2015,78.07
17/03/2015,79.36
18/03/2015,80.91
19/03/2015,82.75
20/03/2015,83.8
23/03/2015,84.43
24/03/2015,85.31
25/03/2015,82.92
26/03/2015,83.01
27/03/2015,83.3
30/03/2015,83.2
31/03/2015,82.22
1/4/15,81.67
2/4/15,81.56
6/4/15,82.44
7/4/15,82.32
8/4/15,82.28
9/4/15,82.17
10/4/15,82.04
13/04/2015,83.01
14/04/2015,83.52
15/04/2015,82.71
16/04/2015,82.31
17/04/2015,80.78
20/04/2015,83.09
21/04/2015,83.62
22/04/2015,84.63
23/04/2015,82.41
24/04/2015,81.53
27/04/2015,81.91
28/04/2015,80.68
29/04/2015,80.47
30/04/2015,78.77
1/5/15,78.99
4/5/15,78.81
5/5/15,77.56
6/5/15,78.1
7/5/15,78.43
8/5/15,78.51
11/5/15,78.01
12/5/15,77.46
13/05/2015,78.44
14/05/2015,81.37
15/05/2015,80.42
18/05/2015,80.88
19/05/2015,80.63
20/05/2015,80.55
21/05/2015,80.48
22/05/2015,80.54
26/05/2015,79.33
27/05/2015,80.55
28/05/2015,80.15
29/05/2015,79.19
1/6/15,80.29
2/6/15,80.44
3/6/15,82.44
4/6/15,82.05
5/6/15,82.14
8/6/15,80.67
9/6/15,80.67
10/6/15,82.16
11/6/15,81.83
12/6/15,81.53
15/06/2015,80.71
16/06/2015,81.06
17/06/2015,81.79
18/06/2015,82.91
19/06/2015,82.51
22/06/2015,84.74
23/06/2015,87.88
24/06/2015,88.86
25/06/2015,87.98
26/06/2015,88.01
29/06/2015,85.8
30/06/2015,85.77
1/7/15,86.91
2/7/15,87.29
6/7/15,87.55
7/7/15,87.22
8/7/15,85.65
9/7/15,85.88
10/7/15,87.95
13/07/2015,90.1
14/07/2015,89.68
15/07/2015,89.76
16/07/2015,90.85
17/07/2015,94.97
20/07/2015,97.91
21/07/2015,98.39
22/07/2015,97.04
23/07/2015,95.44
24/07/2015,96.95
27/07/2015,94.17
28/07/2015,95.29
29/07/2015,96.99
30/07/2015,95.21
31/07/2015,94.01
3/8/15,94.14
4/8/15,94.06
5/8/15,96.44
6/8/15,95.12
7/8/15,94.3
10/8/15,94.15
11/8/15,93.62
12/8/15,94.19
13/08/2015,93.43
14/08/2015,94.42
17/08/2015,93.93
18/08/2015,95.17
19/08/2015,95.31
20/08/2015,90.56
21/08/2015,86.06
24/08/2015,82.09
25/08/2015,83
26/08/2015,87.19
27/08/2015,89.73
28/08/2015,91.01
31/08/2015,89.43
1/9/15,87.23
2/9/15,89.89
3/9/15,88.15
4/9/15,88.26
8/9/15,89.53
9/9/15,90.44
10/9/15,91.98
11/9/15,92.05
14/09/2015,92.31
15/09/2015,92.9
16/09/2015,93.45
